blocksize                 sieve_dim                 A_of_AvgMidCost           B_of_AvgMidCost           SimPnJBKZCost[0]          SimPnJBKZCost[1:f+xf]     SimPnJBKZCost[d-β-xf+1:d]
51                        46                        0.00534                   2.84042                   4.07                      43.32                     51.15                    
53                        47                        0.00764                   2.84849                   2.73                      47.65                     60.95                    
55                        48                        0.00798                   2.95271                   2.79                      52.36                     66.41                    
57                        49                        0.00911                   2.7975                    2.58                      54.33                     67.83                    
59                        50                        0.00951                   2.87286                   2.85                      58.96                     74.7                     
61                        51                        0.01014                   2.96269                   2.9                       64.44                     80.49                    
63                        52                        0.01055                   3.11718                   2.8                       69.49                     89.16                    
65                        53                        0.01104                   3.18518                   3.07                      74.31                     92.68                    
67                        54                        0.01135                   3.31825                   3.06                      79.24                     104.98                   
69                        55                        0.01132                   3.32144                   3.27                      86.36                     106.37                   
71                        56                        0.01635                   3.0762                    3.31                      88.18                     111.5                    
73                        57                        0.01503                   3.37666                   3.17                      95.36                     129.64                   
75                        58                        0.01537                   3.58225                   3.63                      104.18                    131.89                   
77                        60                        0.01542                   3.91818                   3.91                      109.55                    142.3                    
79                        62                        0.01789                   4.24551                   4.38                      121.91                    155.48                   
81                        64                        0.01731                   4.81582                   4.71                      132.37                    158.97                   
83                        66                        0.0204                    7.09192                   7.29                      195.62                    236.04                   
85                        68                        0.02304                   7.85439                   8.78                      220.86                    251.94                   
87                        69                        0.02557                   8.24816                   9.52                      239.29                    273.5                    
89                        71                        0.02061                   9.54307                   10.85                     259.07                    304.16                   
91                        73                        0.02211                   10.30168                  12.06                     284.61                    327.15                   
93                        75                        0.03018                   10.91955                  13.18                     305.28                    360.35                   
95                        77                        0.0228                    12.69289                  15.04                     343.05                    389.14                   
97                        79                        0.02443                   13.86835                  17.79                     379.95                    412.24                   
99                        81                        0.03344                   15.08675                  21.43                     427.57                    472.97                   
101                       82                        0.0312                    16.44398                  21.73                     467.88                    516.08                   
103                       84                        0.02769                   18.85646                  27.44                     542.89                    577.36                   
105                       86                        0.0358                    22.22364                  35.95                     642.26                    681.03                   
107                       88                        0.02453                   27.61019                  44.84                     755.5                     774.54                   
109                       90                        0.04554                   33.01663                  59.26                     927.05                    964.41                   
111                       92                        0.02219                   43.40242                  75.66                     1161.6                    1138.99                  
113                       94                        0.05102                   53.0382                   97.34                     1467.14                   1500.69                  
115                       95                        -0.07373                  69.92405                  118.09                    1822.28                   1681.68                  
117                       97                        0.17768                   77.53214                  153.94                    2447.82                   2314.65                  
119                       99                        0.08192                   106.91253                 211.73                    3059.83                   3022.42                  
